token	lemma	pos
.	.	$.

iste	iste	PRO
vel	vel	CON
alii	alius	PRO
credulas	credula	ADJ
aures	auris	NN
tuas	tuus	PRO
impleverunt	impleo	V
,	,	$,
et	et	CON
alienaverunt	alieno	V
animum	animus	NN
tuum	tuus	PRO
a	ab	AP
me	ego	PRO
dicentes	dico	V
.	.	$.

haec	hic	PRO
dicit	dico	V
nicolaus	nicolaus	NP
,	,	$,
cum	cum	CON
nicolaus	nicolaus	V
non	non	ADV
sit	sum	V
locutus	loquor	V
.	.	$.

si	si	CON
credidissem	credo	V
delatoribus	delator	NN
accusantibus	accuso	V
te	tu	PRO
,	,	$,
longam	longua	ADJ
texuissem	texus	ADJ
reprehensionis	reprehensio	NN
parabolam	parabola	NN
quam	qui	ADV
epistolaris	epistolare	ADJ
brevitas	brevitas	NN
aspernatur	asperno	V
.	.	$.

sed	sed	CON
non	non	ADV
ita	ita	ADV
sensum	sensum	NN
meum	meus	PRO
subruit	subruo	V
inconstantia	inconstantia	NN
levitatis	levito	NN
ut	ut	CON
credere	credo	V
possim	possim	V
ante	ante	AP
aliquid	aliquis	PRO
ab	ab	AP
ore	os	NN
tuo	tuus	PRO
effluxisse	effluo	V
,	,	$,
quod	quod	CON
in	in	AP
meam	meus	PRO
redundaret	redundo	V
injuriam	iniuria	NN
.	.	$.

dictum	dico	V
est	sum	V
etiam	etiam	CON
tibi	tu	PRO
si	si	CON
redires	redeo	NN
,	,	$,
me	ego	PRO
amplius	ample	ADV
non	non	ADV
lecturum	lego	V
.	.	$.

hoc	hic	PRO
quomodo	quomodo	ADV
posset	possum	V
facere	facio	V
,	,	$,
qui	qui	PRO
tantum	tantum	ADJ
potuit	possum	V
amare	amo	V
ut	ut	CON
et	et	CON
tu	tu	PRO
sentires	sentior	NN
similia	similis	ADJ
,	,	$,
et	et	CON
ingenium	ingenium	NN
docile	docilis	ADJ
sensu	sensus	NN
maturiore	maturus	V
condires	condiris	NN
,	,	$,
non	non	ADV
credens	credo	V
omni	omnis	ADJ
spiritui	spiritus	NN
,	,	$,
quia	quia	CON
qui	qui	PRO
credit	credo	V
cito	cito	ADV
,	,	$,
levis	levis	ADJ
est	sum	V
corde	cor	NN
.	.	$.

»	»	$(
quod	quod	CON
autem	autem	CON
propter	propter	AP
te	tu	PRO
scholam	schola	NN
dimitterem	dimitto	NN
,	,	$,
refellere	refello	V
dignatur	dignor	V
amoris	amor	NN
auctoritas	auctoritas	NN
;	;	$.
quod	quod	CON
si	si	CON
absurdum	absurdus	ADJ
est	sum	V
,	,	$,
ut	ut	CON
sine	sine	AP
omni	omnis	ADJ
excusationum	excusatio	NN
patrocinio	patrocinium	NN
subruatur	surruo	V
;	;	$.
rescribe	rescribo	V
igitur	igitur	CON
,	,	$,
et	et	CON
alteri	alter	ADJ
tibi	tu	PRO
te	tu	PRO
ipsum	ipse	PRO
ostende	ostendo	V
.	.	$.

dilecto	dilectus	ADJ
fratri	frater	NN

n	non_word	NUM
.	.	$.

,	,	$,
frater	frater	NN
nicolaus	nicolaus	ADJ
,	,	$,
spiritum	spiritus	NN
consilii	consilium	NN
et	et	CON
consolationis	consolatio	NN
.	.	$.

tandem	tandem	ADV
reversa	reverto	V
sunt	sum	V
in	in	AP
me	ego	PRO
viscera	viscura	NN
mea	meus	PRO
;	;	$.
et	et	CON
cor	cor	NN
meum	meus	PRO
rediit	redeo	V
ad	ad	AP
me	ego	PRO
,	,	$,
et	et	CON
ego	ego	NE
ad	ad	ADV
cor	cor	NN
meum	meus	PRO
.	.	$.

felix	felix	ADJ
dies	dies	NN
in	in	AP
qua	quis	PRO
tibi	tu	PRO
scribere	scribo	V
proposui	propono	V
,	,	$,
sed	sed	CON
illa	ille	PRO
multo	multo	ADJ
felicior	felicior	NN
,	,	$,
in	in	AP
qua	quis	PRO
tu	tu	PRO
rescribere	rescribo	V
voluisti	volo	V
.	.	$.

non	non	ADV
recedet	recedo	V
memoria	memoria	NN
ejus	is	PRO
et	et	CON
usque	usque	AP
in	in	AP
saeculum	saeculum	NN
non	non	ADV
derelinquetur	derelinquo	V
;	;	$.
sed	sed	CON
erit	sum	V
mihi	ego	PRO
clara	clara	ADJ
atque	atque	CON
solemnis	solemna	NN
et	et	CON
aeternis	aeternus	ADJ
gaudiis	gaudium	NN
inclarescens	inclaresco	V
.	.	$.

«amici	propername	NN
mei	meus	PRO
et	et	CON
proximi	proximus	NN
mei	meus	PRO
quasi	quasi	CON
alieni	alienus	ADJ
recesserunt	recedo	V
a	ab	AP
me	ego	PRO
,	,	$,
et	et	CON
obstupui	obstuper	V
.	.	$.

apposuerunt	appono	V
adhuc	adhuc	ADV
precare	preco	V
mihi	ego	PRO
,	,	$,
quia	quia	CON
adversum	adversum	AP
me	ego	PRO
appropinquaverunt	appropinquo	V
et	et	CON
steterunt	sto	V
et	et	CON
indolui	indoleo	NN
.	.	$.

delictum	delictus	ADJ
quoque	quoque	ADV
maximum	magnus	ADJ
incurrentes	incurreo	V
,	,	$,
te	tu	PRO
lumen	lumen	NN
oculorum	oculus	NN
meorum	meus	PRO
auferre	aufero	V
tentaverunt	tento	V
,	,	$,
et	et	CON
concussa	concussus	ADJ
sunt	sum	V
omnia	omnis	ADJ
ossa	ossum	NN
mea	meus	PRO
,	,	$,
hic	hic	PRO
«conturbatum	pronturbo	V
est	sum	V
cor	cor	NN
meum	meus	PRO
,	,	$,
dereliquit	derelinquo	V
me	ego	PRO
virtus	virtus	NN
mea	meus	PRO
;	;	$.
»	»	$(
et	et	CON
qui	qui	PRO
duo	duo	NUM
praecedentia	praecedo	NN
robustiori	robustus	NN
mente	mens	NN
pertuleram	perfera	ADJ
,	,	$,
tertio	tertio	ORD
confectus	conficio	NN
elangui	elanguus	V
.	.	$.

sed	sed	CON
nobilis	nobilis	ADJ
animus	animus	NN
et	et	CON
de	de	AP
coelesti	caelestis	ADJ
sede	sedes	NN
ducens	duco	V
originem	origo	NN
,	,	$,
in	in	AP
orbem	orbis	NN
sese	sui	PRO
recolligens	recolligo	V
redivivi	redivivus	ADJ
spiritus	spiritus	NN
assumpsit	assumo	V
audaciam	audacium	NN
,	,	$,
ultimi	ultimus	NN
enim	enim	CON
facinoris	facinus	NN
indignitate	indignitas	NN
commotus	commoveo	NN
,	,	$,
dulcioribus	dulcior	ADJ
litteris	littera	NN
purgavit	purgo	V
innocentiam	innocentia	NN
suam	suus	PRO
et	et	CON
relisis	relis	ADJ
obloquentium	obloquoquens	NN
faucibus	faucio	NN
,	,	$,
perpetuum	perpetuus	ADJ
silentium	silens	NN
susurrantibus	susurro	NN
et	et	CON
invidiosis	invidiosus	NN
indixit	indico	V
:	:	$.
«mentita	mentitus	V
est	sum	V
ergo	ergo	ADV
iniquitas	iniquitas	NN
